Pays,Year,"Total private debt,  all instruments (percent of GDP)","Total private debt,  loans and debt securities (percent of GDP)","Household debt, all instruments (percent of GDP)","Household debt, loans and debt securities (percent of GDP)","Non-financial corporations debt, all instruments (percent of GDP)","Non-financial corporations debt, loans and debt securities (percent of GDP)",Public sector debt (percent of GDP),Nonfinancial public sector debt (percent of GDP),General government debt (percent of GDP),Central government debt (percent of GDP),Nominal gross domestic product (billions)
Estonia,2022,"159,10","111,00","39,33","36,40","119,77","74,60",,,"19,11","18,97","36,44"
Estonia,2023,"166,05","117,61","39,57","36,84","126,49","80,77",,,"20,18","20,00","38,19"
Estonia,2024,"173,02","122,75","41,29","38,40","131,73","84,35",,,"23,62","23,06","39,51"
Finland,1950,,,,,,,,,,"12,87","0,98"
Finland,1951,,,,,,,,,,"7,11","1,42"
Finland,1952,,,,,,,,,,"7,50","1,48"
Finland,1953,,,,,,,,,,"8,36","1,46"
Finland,1954,,,,,,,,,,"8,16","1,62"
Finland,1955,,,,,,,,,,"7,53","1,79"
Finland,1956,,,,,,,,,,"8,04","1,99"
Finland,1957,,,,,,,,,,"7,22","2,17"
Finland,1958,,,,,,,,,,"7,15","2,33"
Finland,1959,,,,,,,,,,"6,93","2,54"
Finland,1960,,,,,,,,,"12,66","5,35","2,83"
Finland,1961,,,,,,,,,"10,73","4,82","3,21"
Finland,1962,,,,,,,,,"11,43","6,26","3,44"
Finland,1963,,,,,,,,,"12,82","7,71","3,73"
Finland,1964,,,,,,,,,"13,02","7,54","4,21"
Finland,1965,,,,,,,,,"13,91","8,52","4,66"
Finland,1966,,,,,,,,,"13,95","9,07","4,99"
Finland,1967,,,,,,,,,"14,32","8,26","5,46"
Finland,1968,,,,,,,,,"14,30","8,13","6,26"
Finland,1969,,,,,,,,,"13,65","6,76","7,15"
Finland,1970,,"90,90",,"18,10",,"72,80",,,"11,97","5,66","7,96"
Finland,1971,,"82,69",,"19,56",,"63,13",,,"10,81","4,81","8,74"
Finland,1972,,"84,57",,"13,05",,"71,52",,,"9,84","3,80","10,19"
Finland,1973,,"84,68",,"13,34",,"71,34",,,"8,03","2,42","12,40"
Finland,1974,,"81,43",,"24,49",,"56,94",,,"6,38","1,67","15,65"
Finland,1975,,"82,93",,"20,56",,"62,37",,,"6,76","3,06","18,15"
Finland,1976,,"84,21",,"21,20",,"63,01",,,"7,09","2,74","20,62"
Finland,1977,,"89,59",,"22,55",,"67,03",,,"8,22","4,30","22,63"
Finland,1978,,"89,65",,"24,17",,"65,49",,,"10,65","7,72","25,07"
Finland,1979,,"87,95",,"25,34",,"62,61",,,"11,05","7,89","29,07"
Finland,1980,,"87,53",,"25,93",,"61,61",,,"10,89","8,26","33,68"
Finland,1981,,"89,44",,"26,99",,"62,45",,,"11,54","8,79","38,09"
Finland,1982,,"93,57",,"28,48",,"65,09",,,"13,85","10,79","42,83"
Finland,1983,,"94,60",,"29,68",,"64,92",,,"15,38","12,25","47,79"
Finland,1984,,"95,35",,"30,44",,"64,91",,,"15,18","12,05","53,50"
Finland,1985,,"99,37",,"32,14",,"67,22",,,"15,84","12,58","58,29"
Finland,1986,,"102,34",,"33,75",,"68,59",,,"16,44","12,98","62,74"
Finland,1987,,"108,59",,"37,01",,"71,58",,,"17,65","13,87","67,75"
Finland,1988,,"115,01",,"41,84",,"73,16",,,"16,54","12,43","76,75"
Finland,1989,,"116,03",,"42,59",,"73,44",,,"14,27","10,14","85,93"
Finland,1990,,"128,85",,"42,36",,"86,49",,,"13,85","9,98","90,96"
Finland,1991,,"141,75",,"45,05",,"96,69",,,"21,89","16,46","86,91"
Finland,1992,,"163,61",,"44,46",,"119,15",,,"39,29","33,22","84,79"
Finland,1993,,"145,56",,"41,41",,"104,14",,,"54,20","48,30","85,61"
Finland,1994,,"136,92",,"37,55",,"99,37",,,"56,19","51,32","90,65"
Finland,1995,"142,48","118,56","38,92","34,70","103,56","83,86",,,"55,20","51,30","98,45"
Finland,1996,"136,10","115,37","35,23","32,07","100,87","83,30",,,"55,36","51,96","101,98"
Finland,1997,"137,33","116,65","31,81","29,95","105,52","86,70",,,"52,24","49,32","110,76"
Finland,1998,"131,41","108,70","31,49","29,56","99,92","79,14",,,"46,84","44,11","120,43"
Finland,1999,"135,91","112,36","32,46","31,23","103,45","81,14",,,"44,02","41,59","126,89"
Finland,2000,"146,95","121,79","33,01","31,62","113,94","90,18",,,"42,45","45,14","136,39"
Finland,2001,"141,94","117,40","33,52","32,05","108,42","85,35",,,"40,90","43,44","144,61"
Finland,2002,"143,89","119,53","36,43","34,58","107,46","84,95",,,"40,13","42,64","148,44"
Finland,2003,"150,56","125,40","39,50","38,08","111,05","87,32",,,"42,70","45,16","151,71"
Finland,2004,"154,75","128,94","43,73","41,45","111,02","87,49",,,"42,58","44,94","158,74"
Finland,2005,"160,19","133,96","48,29","46,34","111,90","87,62",,,"39,87","42,14","164,67"
Finland,2006,"169,34","140,01","52,76","49,71","116,58","90,30",,,"38,01","40,22","172,86"
Finland,2007,"173,96","144,82","53,92","50,92","120,04","93,89",,,"33,91","36,00","187,06"
Finland,2008,"186,77","156,14","56,15","52,64","130,62","103,50",,,"32,56","34,72","194,25"
Finland,2009,"194,64","165,23","61,93","59,05","132,71","106,18",,,"41,53","44,13","181,74"
Finland,2010,"199,03","167,17","63,51","58,90","135,52","108,27",,,"50,11","50,11","188,15"
Finland,2011,"201,18","168,52","64,65","59,15","136,53","109,37",,,"52,02","52,02","197,66"
Finland,2012,"202,26","172,10","66,24","61,22","136,03","110,89",,,"57,86","57,86","200,38"
Finland,2013,"208,46","176,94","67,19","61,77","141,27","115,17",,,"60,81","60,81","203,50"
Finland,2014,"213,94","183,44","67,01","62,78","146,93","120,66",,,"64,81","64,81","205,86"
Finland,2015,"222,14","190,58","68,47","63,67","153,67","126,91",,,"68,76","68,76","210,19"
Finland,2016,"213,30","180,97","71,29","64,66","142,01","116,31",,,"68,65","68,65","215,72"
Finland,2017,"222,46","188,13","73,05","64,87","149,41","123,27",,,"66,58","66,58","224,71"
Finland,2018,"227,56","187,11","76,54","65,66","151,02","121,44",,,"65,28","65,36","231,91"
Finland,2019,"226,78","184,68","78,26","66,18","148,52","118,50",,,"65,24","65,33","238,52"
Finland,2020,"236,73","192,61","83,90","69,53","152,82","123,08",,,"75,41","75,32","236,39"
Finland,2021,"234,08","190,66","83,09","68,49","150,99","122,17",,,"73,25","73,20","248,76"
Finland,2022,"232,49","188,31","79,13","66,10","153,36","122,21",,,"74,03","74,03","266,14"
Finland,2023,"225,78","182,94","77,39","64,21","148,39","118,73",,,"77,30","77,16","272,78"
Finland,2024,"223,21","180,71","76,59","63,31","146,62","117,40",,,"82,53","82,05","276,17"
France,1950,,,,,,,,,,"37,83","16,43"
France,1951,,,,,,,,,,"32,06","20,13"
France,1952,,,,,,,,,,"31,06","23,71"
France,1953,,,,,,,,,,"33,02","24,72"
France,1954,,,,,,,,,,"32,43","26,17"
France,1955,,,,,,,,,,"31,34","28,00"
France,1956,,,,,,,,,,"31,20","31,11"
France,1957,,,,,,,,,,"30,98","34,64"
France,1958,,,,,,,,,,"30,50","39,86"
France,1959,,,,,,,,,,"29,44","43,52"
France,1960,,,,,,,,,,"26,72","48,29"
France,1961,,,,,,,,,,"24,59","52,69"
France,1962,,,,,,,,,,"22,09","58,83"
France,1963,,,,,,,,,,"20,75","65,95"
France,1964,,,,,,,,,,"18,33","73,16"
France,1965,,,,,,,,,,"16,45","78,75"
France,1966,,,,,,,,,,"14,43","84,55"
France,1967,,,,,,,,,,"15,14","91,33"
France,1968,,,,,,,,,,"14,95","99,31"
France,1969,,"94,17",,,,,,,,"13,58","113,22"
France,1970,,"97,52",,,,,,,,"19,84","126,42"
France,1971,,"101,62",,,,,,,,"18,93","140,86"
France,1972,,"108,03",,,,,,,,"16,82","157,40"
France,1973,,"109,36",,,,,,,,"14,93","180,00"
France,1974,,"108,49",,,,,,,,"14,47","207,58"
France,1975,,"109,33",,,,,,,,"15,23","233,86"
France,1976,,"107,16",,,,,,,,"14,26","270,92"
France,1977,,"107,19",,"17,93",,"89,26",,,,"14,10","305,54"
France,1978,,"104,24",,"18,82",,"85,42",,,"21,43","13,61","347,72"
France,1979,,"102,83",,"21,26",,"81,57",,,"21,54","13,49","395,28"
France,1980,,"103,64",,"22,56",,"81,07",,,"21,30","13,30","447,42"
France,1981,,"103,36",,"22,67",,"80,69",,,"22,64","14,47","504,71"
France,1982,,"104,75",,"23,68",,"81,08",,,"26,20","17,80","579,25"
France,1983,,"107,25",,"24,26",,"82,99",,,"27,73","18,99","642,95"
France,1984,,"108,93",,"25,58",,"83,35",,,"30,19","20,85","699,50"
France,1985,,"108,87",,"26,79",,"82,08",,,"31,85","22,06","749,58"
France,1986,,"105,71",,"26,89",,"78,82",,,"32,40","23,14","807,71"
France,1987,,"109,86",,"29,23",,"80,63",,,"34,76","24,77","848,79"
France,1988,,"115,43",,"30,19",,"85,24",,,"34,67","24,92","917,93"
France,1989,,"120,68",,"30,38",,"90,30",,,"35,53","26,08","988,88"
France,1990,,"127,92",,"32,17",,"95,76",,,"36,79","27,36","1043,98"
France,1991,,"132,33",,"32,96",,"99,37",,,"37,77","27,98","1082,83"
France,1992,,"136,74",,"32,93",,"103,80",,,"41,71","31,21","1121,46"
France,1993,,"141,20",,"34,93",,"106,26",,,"48,16","36,62","1134,84"
France,1994,,"136,24",,"34,12",,"102,12",,,"51,58","40,51","1172,96"
France,1995,"164,25","134,03","41,45","34,21","122,80","99,82",,,"57,81","45,86","1213,80"
France,1996,"164,56","131,50","43,40","34,31","121,16","97,19",,,"60,59","48,22","1246,97"
France,1997,"166,11","131,46","45,07","34,47","121,04","96,98",,,"61,98","49,43","1289,67"
France,1998,"172,18","129,51","45,06","33,79","127,12","95,72",,,"62,10","50,71","1346,32"
France,1999,"181,52","135,18","46,82","34,73","134,70","100,45",,,"61,42","50,64","1395,15"
France,2000,"188,15","139,80","45,95","34,89","142,20","104,91",,,"59,72","49,45","1473,52"
France,2001,"193,99","145,14","47,07","35,34","146,91","109,80",,,"59,32","49,46","1530,07"
France,2002,"193,75","145,52","49,41","36,19","144,34","109,33",,,"61,26","51,62","1578,33"
France,2003,"193,78","144,86","51,35","37,61","142,43","107,26",,,"65,36","54,72","1622,31"
France,2004,"194,60","147,30","51,28","39,27","143,32","108,03",,,"66,88","54,61","1696,11"
France,2005,"202,77","151,16","54,92","42,12","147,85","109,04",,,"68,19","55,13","1762,05"
France,2006,"210,51","155,59","58,06","44,66","152,44","110,93",,,"65,40","52,25","1846,02"
France,2007,"217,59","159,56","61,12","47,16","156,46","112,41",,,"65,48","52,15","1937,88"
France,2008,"222,19","166,46","62,28","49,33","159,90","117,13",,,"69,82","56,32","1990,00"
France,2009,"233,53","173,83","68,78","53,19","164,75","120,64",,,"84,06","68,11","1935,84"
France,2010,"235,92","173,80","71,13","54,22","164,78","119,58",,,"86,28","69,33","1996,08"
France,2011,"241,72","180,48","71,17","55,35","170,55","125,14",,,"88,75","70,63","2062,14"
France,2012,"240,11","185,11","68,85","55,83","171,26","129,28",,,"91,74","73,21","2088,29"
France,2013,"237,60","183,03","69,06","56,05","168,54","126,98",,,"94,56","75,96","2120,35"
France,2014,"244,27","189,57","69,55","56,50","174,72","133,07",,,"96,16","77,38","2153,73"
France,2015,"251,16","194,81","70,39","56,91","180,77","137,89",,,"96,97","78,07","2201,40"
France,2016,"257,71","198,89","71,51","58,12","186,20","140,76",,,"98,15","79,16","2231,82"
France,2017,"261,93","201,74","73,26","59,44","188,67","142,30",,,"98,76","80,17","2291,68"
France,2018,"265,63","206,38","74,44","60,87","191,20","145,51",,,"98,53","81,16","2355,36"
France,2019,"267,99","212,30","74,69","62,35","193,30","149,95",,,"98,16","81,60","2432,21"
France,2020,"299,12","239,64","81,95","68,20","217,17","171,44",,,"114,90","93,30","2318,28"
France,2021,"286,64","227,47","79,29","66,41","207,35","161,06",,,"112,79","92,12","2508,10"
France,2022,"288,21","225,57","78,14","65,86","210,06","159,71",,,"111,36","91,96","2654,06"
France,2023,"279,06","217,35","74,22","62,53","204,83","154,82",,,"109,77","91,62","2826,31"
France,2024,"276,51","215,45","71,75","60,51","204,76","154,94",,,"113,11","94,34","2922,24"
Germany,1950,,"34,65",,,,,,,"18,81",,"56,08"
Germany,1951,,"36,53",,,,,,,"16,69",,"68,53"
Germany,1952,,"41,64",,,,,,,"15,71",,"78,28"
Germany,1953,,"48,56",,,,,,,"20,56",,"84,30"
Germany,1954,,"56,00",,,,,,,"21,81",,"90,72"
Germany,1955,,"59,69",,,,,,,"20,21",,"103,68"
Germany,1956,,"61,58",,,,,,,"18,81",,"114,12"
Germany,1957,,"62,65",,,,,,,"18,08",,"124,10"
Germany,1958,,"65,46",,,,,,,"17,94",,"132,58"
Germany,1959,,"71,06",,,,,,,"17,67",,"143,59"
Germany,1960,,"70,22",,,,,,,"16,51",,"163,37"
Germany,1961,,"74,27",,,,,,,"16,31","8,52","179,02"
Germany,1962,,"77,39",,,,,,,"15,85","8,27","194,71"
Germany,1963,,"81,81",,,,,,,"16,62","8,83","206,36"
Germany,1964,,"83,50",,,,,,,"16,64","8,46","226,77"
Germany,1965,,"85,47",,,,,,,"17,26","8,20","247,81"
Germany,1966,,"87,04",,,,,,,"18,06","8,25","263,50"
Germany,1967,,"91,51",,,,,,,"20,73","9,77","266,80"
Germany,1968,,"94,96",,,,,,,"20,81","9,83","287,81"
Germany,1969,,"97,86",,,,,,,"18,71","8,52","322,17"
Germany,1970,,"96,50",,"39,50",,"57,00",,,"17,66","7,78","364,46"
Germany,1971,,"98,56",,"40,28",,"58,28",,,"17,74","7,16","404,64"
Germany,1972,,"102,61",,"42,29",,"60,32",,,"17,96","7,26","444,24"
Germany,1973,,"103,96",,"43,42",,"60,53",,,"17,33","7,06","495,04"
Germany,1974,,"105,01",,"43,00",,"62,00",,,"18,52","7,58","531,03"
Germany,1975,,"107,24",,"43,94",,"63,30",,,"23,66","10,61","554,07"
Germany,1976,,"106,80",,"44,38",,"62,42",,,"25,08","11,42","604,73"
Germany,1977,,"108,76",,"45,83",,"62,93",,,"26,03","12,33","645,10"
Germany,1978,,"110,15",,"47,67",,"62,48",,,"27,37","13,43","692,73"
Germany,1979,,"112,34",,"49,97",,"62,37",,,"28,24","14,17","749,34"
Germany,1980,,"116,63",,"51,92",,"64,70",,,"30,14","15,15","795,08"
Germany,1981,,"121,23",,"54,24",,"66,99",,,"33,61","17,12","829,93"
Germany,1982,,"123,85",,"55,86",,"67,99",,,"36,44","18,63","862,70"
Germany,1983,,"125,17",,"57,88",,"67,29",,,"37,97","19,63","904,60"
Germany,1984,,"126,04",,"58,95",,"67,09",,,"38,66","20,14","948,99"
Germany,1985,,"126,39",,"60,55",,"65,84",,,"39,23","20,59","990,79"
Germany,1986,,"123,41",,"59,64",,"63,76",,,"39,09","20,58","1047,73"
Germany,1987,,"123,48",,"59,72",,"63,76",,,"40,11","21,09","1082,06"
Germany,1988,,"122,83",,"58,86",,"63,97",,,"40,52","21,59","1139,31"
Germany,1989,,"123,15",,"58,64",,"64,52",,,"39,19","21,00","1211,70"
Germany,1990,,"121,58",,"57,73",,"63,85",,,"40,74","23,17","1322,26"
Germany,1991,,"111,34",,"51,20",,"60,14",,,"39,49","22,78","1591,61"
Germany,1992,,"111,43",,"51,57",,"59,85",,,"41,86","24,82","1709,89"
Germany,1993,,"119,50",,"55,19",,"64,32",,,"45,51","27,05","1757,34"
Germany,1994,,"120,27",,"57,88",,"62,39",,,"47,87","28,76","1838,02"
Germany,1995,"148,26","119,37","60,89","59,89","87,37","59,48",,,"55,29","35,44","1899,93"
Germany,1996,"152,86","124,39","64,03","63,04","88,82","61,34",,,"58,11","37,21","1928,56"
Germany,1997,"155,82","127,67","65,95","65,01","89,88","62,66",,,"59,21","37,70","1967,18"
Germany,1998,"160,03","131,79","67,85","66,94","92,17","64,85",,,"59,81","38,18","2022,31"
Germany,1999,"170,43","136,15","70,69","69,97","99,74","66,18",,,"60,35","39,14","2077,24"
Germany,2000,"180,75","147,75","71,11","70,48","109,64","77,27",,,"59,24","38,27","2129,66"
Germany,2001,"180,66","149,26","69,95","69,34","110,71","79,92",,,"58,06","36,45","2195,53"
Germany,2002,"183,23","151,82","69,82","69,19","113,41","82,62",,,"59,82","37,08","2223,36"
Germany,2003,"182,70","152,75","70,01","69,36","112,69","83,40",,,"63,34","38,93","2240,81"
Germany,2004,"175,73","144,33","68,66","67,93","107,07","76,40",,,"64,96","39,77","2293,04"
Germany,2005,"174,50","145,45","67,45","66,85","107,06","78,60",,,"67,12","41,17","2325,71"
Germany,2006,"173,26","146,02","64,60","64,16","108,65","81,86",,,"66,40","41,00","2426,18"
Germany,2007,"170,35","142,11","60,85","60,44","109,50","81,67",,,"63,69","39,35","2542,22"
Germany,2008,"172,17","143,13","59,17","58,75","113,00","84,38",,,"65,16","39,85","2589,68"
Germany,2009,"176,87","146,42","61,31","60,84","115,56","85,57",,,"72,34","44,03","2494,87"
Germany,2010,"170,51","141,40","58,66","58,22","111,85","83,18",,,"81,01","51,59","2616,06"
Germany,2011,"164,60","137,74","56,49","55,99","108,11","81,75",,,"78,46","49,47","2747,81"
Germany,2012,"164,80","136,97","56,03","55,46","108,78","81,50",,,"79,80","50,09","2800,38"
Germany,2013,"164,66","138,78","55,12","54,57","109,54","84,21",,,"77,44","49,01","2867,28"
Germany,2014,"158,34","132,56","53,73","53,16","104,61","79,40",,,"74,52","47,30","2985,17"
Germany,2015,"157,52","132,60","53,10","52,60","104,41","80,01",,,"71,22","44,92","3085,65"
Germany,2016,"156,96","134,40","52,79","52,29","104,17","82,11",,,"68,28","43,18","3196,11"
Germany,2017,"156,66","134,14","52,42","51,90","104,24","82,24",,,"64,03","40,94","3331,11"
Germany,2018,"160,42","135,08","52,17","51,64","108,25","83,45",,,"60,81","38,97","3431,13"
Germany,2019,"165,32","137,91","53,10","52,55","112,22","85,37",,,"58,70","37,22","3534,88"
Germany,2020,"175,50","148,42","56,84","55,98","118,66","92,45",,,"68,04","44,36","3449,62"
Germany,2021,"178,37","147,27","56,10","55,26","122,27","92,01",,,"68,08","45,79","3676,46"
Germany,2022,"174,23","147,08","54,48","53,60","119,76","93,48",,,"65,00","45,03","3953,85"
Germany,2023,"168,16","140,74","51,92","51,03","116,25","89,70",,,"62,88","44,36","4185,55"
Germany,2024,"163,83","139,41","50,49","49,93","113,34","89,48",,,"63,89","43,97","4305,26"
Greece,1950,,,,,,,,,,"11,32",
Greece,1951,,,,,,,,,,"14,96","0,15"
Greece,1952,,,,,,,,,,"18,34","0,15"
Greece,1953,,,,,,,,,,"15,91","0,20"
Greece,1954,,,,,,,,,,"13,71","0,24"
Greece,1955,,,,,,,,,,"12,23","0,27"
Greece,1956,,,,,,,,,,"11,17","0,31"
Greece,1957,,,,,,,,,,"7,46","0,33"
Greece,1958,,,,,,,,,,"8,41","0,35"
Greece,1959,,,,,,,,,,"10,35","0,36"
Greece,1960,,"25,58",,,,,,,"8,64","10,18","0,38"
Greece,1961,,"24,89",,,,,,,"9,02","11,10","0,43"
Greece,1962,,"27,65",,,,,,,"9,75","13,13","0,46"
Greece,1963,,"29,30",,,,,,,"11,56","19,24","0,52"
Greece,1964,,"29,33",,,,,,,"12,42","18,46","0,58"
Greece,1965,,"27,82",,,,,,,"12,79","19,05","0,67"
Greece,1966,,"28,52",,,,,,,"14,45","16,04","0,75"
Greece,1967,,"31,23",,,,,,,"16,15","17,91","0,81"
Greece,1968,,"32,34",,,,,,,"17,40","19,34","0,88"
Greece,1969,,"34,01",,,,,,,"18,90","21,28","1,01"
Greece,1970,,"36,79",,,,,,,"18,79","18,82","1,15"
Greece,1971,,"40,45",,,,,,,"19,16","19,00","1,27"
Greece,1972,,"43,42",,,,,,,"20,06","20,12","1,47"
Greece,1973,,"39,26",,,,,,,"16,55","16,56","1,93"
Greece,1974,,"41,45",,,,,,,"17,47","17,48","2,21"
Greece,1975,,"42,90",,,,,,,"19,15","18,18","2,66"
Greece,1976,,"43,34",,,,,,,"18,64","20,80","3,31"
Greece,1977,,"46,37",,,,,,,"18,81","23,23","3,88"
Greece,1978,,"46,79",,,,,,,"24,39","23,65","4,73"
Greece,1979,,"44,71",,,,,,,"22,71","23,13","5,87"
Greece,1980,,"45,66",,,,,,,"22,84","24,59","7,01"
Greece,1981,,"49,24",,,,,,,"27,06","28,77","8,39"
Greece,1982,,"49,05",,,,,,,"29,72","29,63","10,56"
Greece,1983,,"49,27",,,,,,,"34,06","33,96","12,59"
Greece,1984,,"48,28",,,,,,,"40,63","40,50","15,66"
Greece,1985,,"47,17",,,,,,,"47,28","48,93","19,11"
Greece,1986,,"44,92",,,,,,,"47,81","49,56","22,84"
Greece,1987,,"44,24",,,,,,,"53,15","55,11","25,73"
Greece,1988,,"41,36",,,,,,,"57,87","59,89","31,31"
Greece,1989,,"42,40",,,,,,,"60,67","62,86","37,21"
Greece,1990,,"39,78",,,,,,,"74,19","76,90","44,91"
Greece,1991,,"37,14",,,,,,,"75,74","78,20","55,46"
Greece,1992,,"36,92",,,,,,,"81,10","83,95","64,11"
Greece,1993,,"35,20",,,,,,,"101,70","95,07","72,19"
Greece,1994,,"35,79",,"5,53",,"30,26",,,"99,68","100,64","81,87"
Greece,1995,"50,14","36,45","12,92","6,35","37,23","30,10",,,"100,39","102,23","91,77"
Greece,1996,"51,91","37,34","15,26","7,41","36,65","29,94",,,"103,72","105,66","100,66"
Greece,1997,"54,19","39,63","16,22","9,22","37,97","30,41",,,"102,60","103,04","111,19"
Greece,1998,"56,94","43,15","15,95","10,39","40,99","32,76",,,"100,79","100,71","121,09"
Greece,1999,"60,85","46,90","17,33","12,17","43,52","34,74",,,"102,84","100,39","128,67"
Greece,2000,"69,83","56,08","21,50","15,20","48,34","40,88",,,"108,85","102,22","136,16"
Greece,2001,"78,25","63,13","25,74","19,35","52,51","43,78",,,"110,53","98,85","147,44"
Greece,2002,"82,62","66,83","29,81","23,74","52,81","43,09",,,"107,87","104,54","158,90"
Greece,2003,"85,41","71,00","32,66","27,58","52,75","43,42",,,"104,26","102,13","174,10"
Greece,2004,"89,71","76,14","37,36","33,08","52,36","43,06",,,"105,49","107,04","188,91"
Greece,2005,"101,53","88,38","44,97","41,13","56,56","47,26",,,"109,86","110,60","194,77"
Greece,2006,"106,98","94,89","49,00","46,47","57,98","48,43",,,"105,33","105,56","214,30"
Greece,2007,"116,68","103,69","54,35","52,51","62,33","51,18",,,"104,64","104,40","229,28"
Greece,2008,"128,39","115,36","57,71","56,70","70,68","58,66",,,"110,91","109,77","238,74"
Greece,2009,"132,26","118,81","60,38","59,01","71,88","59,79",,,"128,48","127,40","234,32"
Greece,2010,"143,05","129,98","69,42","62,15","73,63","67,82",,,"147,85","152,19","223,59"
Greece,2011,"147,25","133,08","73,25","65,25","74,01","67,82",,,"175,08","180,85","203,48"
Greece,2012,"153,08","137,08","78,02","66,97","75,06","70,11",,,"164,28","164,36","185,90"
Greece,2013,"150,22","134,79","76,05","66,77","74,17","68,02",,,"180,51","180,49","178,11"
Greece,2014,"147,37","133,65","73,47","64,99","73,90","68,66",,,"182,82","184,09","176,07"
Greece,2015,"143,33","130,22","70,19","63,21","73,14","67,01",,,"180,00","183,24","175,36"
Greece,2016,"149,06","127,62","69,54","61,31","79,52","66,31",,,"183,67","187,08","174,45"
Greece,2017,"142,05","120,77","66,29","58,21","75,75","62,56",,,"182,62","185,31","177,38"
Greece,2018,"139,73","119,06","66,13","58,48","73,61","60,58",,,"189,55","198,74","180,62"
Greece,2019,"128,46","109,95","61,91","55,44","66,54","54,52",,,"183,69","192,25","185,18"
Greece,2020,"145,79","124,04","67,15","58,72","78,64","65,32",,,"209,93","223,23","167,54"
Greece,2021,"142,24","120,54","63,39","54,66","78,86","65,89",,,"197,81","210,40","184,57"
Greece,2022,"121,29","99,81","52,13","44,91","69,15","54,90",,,"178,44","192,58","207,85"
Greece,2023,"113,12","93,47","47,20","40,78","65,92","52,69",,,"165,15","180,52","225,20"
Greece,2024,"112,82","94,55","44,24","38,83","68,58","55,72",,,"150,89","169,99","237,57"
Hungary,1950,,,,,,,,,,,
Hungary,1951,,,,,,,,,,,
Hungary,1952,,,,,,,,,,,
Hungary,1953,,,,,,,,,,,
Hungary,1954,,,,,,,,,,,
Hungary,1955,,,,,,,,,,,
Hungary,1956,,,,,,,,,,,
Hungary,1957,,,,,,,,,,,
Hungary,1958,,,,,,,,,,,
Hungary,1959,,,,,,,,,,,
Hungary,1960,,,,,,,,,,,"96,18"
Hungary,1961,,,,,,,,,,,"101,68"
Hungary,1962,,,,,,,,,,,"107,25"
Hungary,1963,,,,,,,,,,,"134,91"
Hungary,1964,,,,"7,78",,,,,,,"150,20"
Hungary,1965,,,,"8,01",,,,,,,"166,13"
Hungary,1966,,,,"8,14",,,,,,,"192,26"
Hungary,1967,,,,"8,01",,,,,,,"225,63"
Hungary,1968,,,,"7,58",,,,,,,"261,23"
Hungary,1969,,"41,41",,"7,53",,"33,88",,,,,"286,89"
Hungary,1970,,"39,12",,"7,27",,"31,84",,,,,"346,86"
Hungary,1971,,"43,49",,"7,87",,"35,63",,,,,"376,37"
Hungary,1972,,"43,30",,"8,43",,"34,87",,,,,"407,78"
Hungary,1973,,"43,90",,"8,87",,"35,03",,,,,"447,46"
Hungary,1974,,"49,21",,"9,89",,"39,32",,,,,"468,26"
Hungary,1975,,"50,24",,"10,80",,"39,44",,,,,"502,19"
Hungary,1976,,"54,49",,"11,75",,"42,74",,,,,"550,27"
Hungary,1977,,"57,39",,"12,53",,"44,87",,,,,"605,56"
Hungary,1978,,"62,63",,"13,32",,"49,32",,,,,"655,37"
Hungary,1979,,"64,94",,"14,05",,"50,89",,,,,"710,17"
Hungary,1980,,"66,08",,"15,32",,"50,77",,,,,"752,05"
Hungary,1981,,"66,07",,"15,86",,"50,21",,,,,"813,47"
Hungary,1982,,"67,38",,"16,16",,"51,22",,,,,"884,35"
Hungary,1983,,"69,44",,"17,67",,"51,77",,,,,"934,93"
Hungary,1984,,"70,29",,"18,82",,"51,47",,,,,"1020,55"
Hungary,1985,,"71,51",,"20,48",,"51,03",,,,,"1078,13"
Hungary,1986,,"74,23",,"22,32",,"51,91",,,,,"1135,65"
Hungary,1987,,"75,02",,"22,89",,"52,13",,,,,"1279,13"
Hungary,1988,,"70,54",,"21,76",,"48,77",,,,,"1502,34"
Hungary,1989,,"66,65",,"19,80",,"46,85",,,"70,46","70,44","1796,96"
Hungary,1990,"121,29","65,19","22,12","18,51","99,17","46,68",,,"63,44","63,32","2179,21"
Hungary,1991,"108,80","55,94","15,34","11,05","93,46","44,89",,,"74,00","74,05","2605,81"
Hungary,1992,"94,32","48,55","14,94","10,12","79,38","38,43",,,"76,23","76,25","3069,28"
Hungary,1993,"92,51","47,36","14,64","9,71","77,87","37,64",,,"86,96","86,33","3700,93"
Hungary,1994,"90,86","49,50","13,93","8,95","76,94","40,55",,,"85,87","84,78","4552,61"
Hungary,1995,"85,60","44,86","11,28","6,59","74,32","38,27",,,"83,87","83,24","5855,59"
Hungary,1996,"88,07","48,24","10,07","5,22","78,00","43,02",,,"71,17","71,28","7149,02"
Hungary,1997,"88,20","49,99","9,54","4,84","78,66","45,15",,,"62,20","62,82","8853,54"
Hungary,1998,"88,67","49,45","9,06","4,35","79,60","45,10",,,"60,42","60,57","10459,46"
Hungary,1999,"96,20","53,16","9,92","5,00","86,28","48,15",,,"60,30","60,54","11658,14"
Hungary,2000,"106,25","59,95","11,46","6,46","94,79","53,49",,,"55,64","55,69","13340,29"
Hungary,2001,"106,45","61,92","13,22","8,26","93,23","53,66",,,"52,20","52,13","15413,05"
