Pays,Year,"Total private debt,  all instruments (percent of GDP)","Total private debt,  loans and debt securities (percent of GDP)","Household debt, all instruments (percent of GDP)","Household debt, loans and debt securities (percent of GDP)","Non-financial corporations debt, all instruments (percent of GDP)","Non-financial corporations debt, loans and debt securities (percent of GDP)",General government debt (percent of GDP),Central government debt (percent of GDP),Nominal gross domestic product (billions)
United Kingdom,2023,"162,20","142,24","82,94","78,31","79,26","63,93","100,36","99,75","2711,19"
United Kingdom,2024,"156,50","137,32","80,82","76,18","75,68","61,15","101,29","100,72","2850,99"
United States,1996,"169,56","122,35","67,55","65,85","102,01","56,49","68,23","55,72","8073,13"
United States,1997,"168,15","124,08","67,66","65,94","100,50","58,13","65,84","53,10","8577,55"
United States,1998,"177,18","129,40","69,12","67,43","108,07","61,97","62,60","50,07","9062,83"
United States,1999,"185,04","133,95","71,04","69,37","114,00","64,58","59,03","46,85","9631,18"
United States,2000,"196,30","136,72","72,34","70,71","123,96","66,01","53,17","41,38","10250,95"
United States,2001,"203,09","141,41","76,15","74,58","126,94","66,83","53,33","39,05","10581,93"
United States,2002,"209,02","145,62","81,00","79,31","128,02","66,30","55,72","38,55","10929,10"
United States,2003,"206,45","149,31","86,78","85,10","119,67","64,21","58,80","39,37","11456,45"
United States,2004,"210,27","153,25","90,78","89,06","119,49","64,19","66,28","41,25","12217,18"
United States,2005,"216,19","157,34","94,18","92,44","122,02","64,90","65,61","42,01","13039,20"
United States,2006,"222,55","163,86","98,37","96,61","124,18","67,25","64,34","42,12","13815,60"
United States,2007,"230,59","170,59","100,21","98,40","130,38","72,19","64,74","41,78","14474,25"
United States,2008,"235,64","170,67","97,85","95,89","137,79","74,78","73,59","43,19","14769,85"
United States,2009,"235,24","169,50","98,96","96,72","136,29","72,78","86,79","53,49","14478,05"
United States,2010,"226,22","160,65","93,49","91,50","132,73","69,15","95,35","61,77","15048,98"
United States,2011,"222,15","156,05","89,62","87,58","132,53","68,47","99,68","70,43","15599,73"
United States,2012,"218,40","152,69","85,37","83,39","133,03","69,30","103,24","74,94","16253,95"
United States,2013,"218,36","151,61","83,46","81,55","134,90","70,06","104,52","79,28","16880,68"
United States,2014,"218,61","150,62","80,74","78,75","137,87","71,87","104,43","81,20","17608,13"
United States,2015,"221,08","150,78","78,98","76,95","142,11","73,83","104,85","82,13","18295,00"
United States,2016,"226,06","152,47","79,06","77,04","147,00","75,43","106,78","83,77","18804,90"
United States,2017,"223,24","154,14","78,63","76,65","144,61","77,49","105,73","84,56","19612,10"
United States,2018,"223,62","153,43","76,96","75,03","146,66","78,40","107,04","83,44","20656,53"
United States,2019,"229,64","153,13","76,73","74,65","152,91","78,48","108,20","86,39","21539,98"
United States,2020,"238,48","164,61","80,21","77,98","158,28","86,63","132,03","92,64","21354,13"
United States,2021,"229,40","159,82","79,14","77,01","150,26","82,82","124,72","104,65","23681,18"
United States,2022,"230,71","153,93","76,65","74,59","154,07","79,34","118,81","101,42","26006,90"
United States,2023,"224,47","147,73","73,87","71,83","150,60","75,90","119,00","100,18","27720,73"
United States,2024,"216,62","143,12","71,40","69,35","145,22","73,77","120,79","102,69","29184,90"
